CHC,Latitude,Longitude,Address,SA1,SA2_CODE,SA2_NAME,SA3_NAME,SA4_NAME,GCCSA_NAME,STATE_NAME
"Adelaide River, NT, Australia",-13.2387657,131.1070072,"Adelaide River, Coomalie Shire, Northern Territory, 0846, Australia",70203105704.0,702031057.0,Alligator,Daly - Tiwi - West Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory
"Alcoota, NT, Australia",-22.80257,134.45547,"Engawala, Central Desert Region, Northern Territory, Australia",70201105208.0,702011052.0,Sandover - Plenty,Alice Springs,Northern Territory - Outback,Rest of NT,Northern Territory
"Ali Curung, NT, Australia",-21.0050485,134.4059781,"Ali Curung, Barkly Region, Northern Territory, 0872, Australia",70202105504.0,702021055.0,Barkly,Barkly,Northern Territory - Outback,Rest of NT,Northern Territory
"Alice Springs, NT, Australia",-23.6983884,133.8812885,"Alice Springs, Town of Alice Springs, Northern Territory, 0870, Australia",70201104510.0,702011045.0,Charles,Alice Springs,Northern Territory - Outback,Rest of NT,Northern Territory
"Alyangula, NT, Australia",-13.8508884,136.4207639,"Alyangula, Northern Territory, 0885, Australia",70204106207.0,702041062.0,Anindilyakwa,East Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory
"Amoonguna, NT, Australia",-23.7738535,133.9305517,"Amoonguna, Macdonnell Region, Northern Territory, 0873, Australia",70201105203.0,702011052.0,Sandover - Plenty,Alice Springs,Northern Territory - Outback,Rest of NT,Northern Territory
"Ampilatwatja, NT, Australia",-21.657646,135.2424834,"Ampilatwatja, Barkly Region, Northern Territory, 0872, Australia",70201105209.0,702011052.0,Sandover - Plenty,Alice Springs,Northern Territory - Outback,Rest of NT,Northern Territory
"Angurugu, NT, Australia",-13.9795273,136.4613667,"Angurugu, Groote Archipelago Region, Northern Territory, 0822, Australia",70204106205.0,702041062.0,Anindilyakwa,East Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory
"Aputula, NT, Australia",-25.582205,134.5777819,"Aputula, Macdonnell Region, Northern Territory, 0872, Australia",70201105006.0,702011050.0,Petermann - Simpson,Alice Springs,Northern Territory - Outback,Rest of NT,Northern Territory
"Areyonga, NT, Australia",-24.087034,132.2737118,"Areyonga, Macdonnell Region, Northern Territory, 0872, Australia",70201105314.0,702011053.0,Tanami,Alice Springs,Northern Territory - Outback,Rest of NT,Northern Territory
"Bagot, NT, Australia",-12.4146165,130.8540351,"Bagot, Ludmilla, Darwin, City of Darwin, Northern Territory, 0820, Australia",70101100603.0,701011006.0,Ludmilla - The Narrows,Darwin City,Darwin,Greater Darwin,Northern Territory
"Barrkira, NT, Australia",-12.0081176,136.4655837,"Barrkira, East Arnhem, East Arnhem Region, Northern Territory, Australia",70204106306.0,702041063.0,East Arnhem,East Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory
"Barunga, NT, Australia",-14.5250033,132.8647963,"Barunga, Roper Gulf Region, Northern Territory, 0852, Australia",70205106501.0,702051065.0,Elsey,Katherine,Northern Territory - Outback,Rest of NT,Northern Territory
"Batchelor, NT, Australia",-13.0468045,131.0283583,"Batchelor, Coomalie Shire, Northern Territory, 0845, Australia",70203105710.0,702031057.0,Alligator,Daly - Tiwi - West Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory
"Belyuen, NT, Australia",-12.552481,130.6831795,"Belyuen, Belyuen Shire, Northern Territory, 0822, Australia",70203105702.0,702031057.0,Alligator,Daly - Tiwi - West Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory
"Beswick, NT, Australia",-14.5544974,133.1139933,"Beswick, Roper Gulf Region, Northern Territory, Australia",70205106502.0,702051065.0,Elsey,Katherine,Northern Territory - Outback,Rest of NT,Northern Territory
"Bickerton Island, NT, Australia",-13.7593644,136.1821004,"Bickerton Island, Groote Archipelago Region, Northern Territory, Australia",70204106208.0,702041062.0,Anindilyakwa,East Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory
"Binjari, NT, Australia",-14.549132,132.1859517,"Binjari, Town of Katherine, Northern Territory, 0852, Australia",70205106714.0,702051067.0,Katherine,Katherine,Northern Territory - Outback,Rest of NT,Northern Territory
"Birany Birany, NT, Australia",-12.8162633,136.4766904,"Birany Birany, East Arnhem, East Arnhem Region, Northern Territory, Australia",70204106304.0,702041063.0,East Arnhem,East Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory
"Bonya, NT, Australia",-22.7888282,136.1686851,"Orrtipa-Thurra, Central Desert Region, Northern Territory, Australia",70201105215.0,702011052.0,Sandover - Plenty,Alice Springs,Northern Territory - Outback,Rest of NT,Northern Territory
"Borroloola, NT, Australia",-16.0594471,136.3054069,"Borroloola, Roper Gulf Region, Northern Territory, 0854, Australia",70205106601.0,702051066.0,Gulf,Katherine,Northern Territory - Outback,Rest of NT,Northern Territory
"Bulman, NT, Australia",-13.6658065,134.3360241,"Bulman, Roper Gulf Region, Northern Territory, Australia",70205106509.0,702051065.0,Elsey,Katherine,Northern Territory - Outback,Rest of NT,Northern Territory
"Canteen Creek, NT, Australia",-20.635234,135.5859008,"Canteen Creek, Barkly Region, Northern Territory, 0872, Australia",70202105505.0,702021055.0,Barkly,Barkly,Northern Territory - Outback,Rest of NT,Northern Territory
"Casuarina, NT, Australia",-12.3737641,130.8823639,"Casuarina, Darwin, City of Darwin, Northern Territory, 0810, Australia",70102101307.0,701021013.0,Brinkin - Nakara,Darwin Suburbs,Darwin,Greater Darwin,Northern Territory
"Daguragu, NT, Australia",-17.4004322,130.8057492,"Daguragu, Victoria Daly Region, Northern Territory, 0852, Australia",70205106805.0,702051068.0,Victoria River,Katherine,Northern Territory - Outback,Rest of NT,Northern Territory
"Daly River, NT, Australia",-13.5868485,130.6411359,"Daly River, Victoria Daly Region, Northern Territory, 0822, Australia",70203105807.0,702031058.0,Daly,Daly - Tiwi - West Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory
"Darwin, NT, Australia",-12.46044,130.8410469,"Darwin, City of Darwin, Northern Territory, 0800, Australia",70101100228.0,701011002.0,Darwin City,Darwin City,Darwin,Greater Darwin,Northern Territory
"Dhalinybuy, NT, Australia",-12.4118838,136.3865589,"Dhalinybuy, East Arnhem Region, Northern Territory, Australia",70204106315.0,702041063.0,East Arnhem,East Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory
"Dhurputjpi, NT, Australia",,,Not found,,,,,,,
