CHC,Latitude,Longitude,Address,SA1,SA2_CODE,SA2_NAME,SA3_NAME,SA4_NAME,GCCSA_NAME,STATE_NAME,IARE_CODE,IARE_NAME,IREG_CODE,IREG_NAME
ADELAIDE RIVER,-13.2387657,131.1070072,"Adelaide River, Coomalie Shire, Northern Territory, 0846, Australia",70203105704,702031057,Alligator,Daly - Tiwi - West Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory,703004,Cox - Finniss - Coomalie,703,Darwin
ALCOOTA,-22.80257,134.45547,"Engawala, Central Desert Region, Northern Territory, Australia",70201105208,702011052,Sandover - Plenty,Alice Springs,Northern Territory - Outback,Rest of NT,Northern Territory,709005,Atitjere - Akarnenehe - Engawala,709,Apatula
ALI CURUNG,-21.0050485,134.4059781,"Ali Curung, Barkly Region, Northern Territory, 0872, Australia",70202105504,702021055,Barkly,Barkly,Northern Territory - Outback,Rest of NT,Northern Territory,707001,Ali Curung,707,Tennant Creek
ALICE SPRINGS,-23.6983884,133.8812885,"Alice Springs, Town of Alice Springs, Northern Territory, 0870, Australia",70201104510,702011045,Charles,Alice Springs,Northern Territory - Outback,Rest of NT,Northern Territory,708001,Alice exc. Town Camps,708,Alice Springs
ALYANGULA,-13.8508884,136.4207639,"Alyangula, Northern Territory, 0885, Australia",70204106207,702041062,Anindilyakwa,East Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory,706001,Anindilyakwa (Groote),706,Nhulunbuy
AMOONGUNA,-23.7738535,133.9305517,"Amoonguna, Macdonnell Region, Northern Territory, 0873, Australia",70201105203,702011052,Sandover - Plenty,Alice Springs,Northern Territory - Outback,Rest of NT,Northern Territory,709001,Amoonguna - Santa Teresa - Titjikala,709,Apatula
AMPILATWATJA,-21.657646,135.2424834,"Ampilatwatja, Barkly Region, Northern Territory, 0872, Australia",70201105209,702011052,Sandover - Plenty,Alice Springs,Northern Territory - Outback,Rest of NT,Northern Territory,709002,Ampilatwatja and Outstations,709,Apatula
ANGURUGU,-13.9795273,136.4613667,"Angurugu, Groote Archipelago Region, Northern Territory, 0822, Australia",70204106205,702041062,Anindilyakwa,East Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory,706001,Anindilyakwa (Groote),706,Nhulunbuy
APUTULA,-25.582205,134.5777819,"Aputula, Macdonnell Region, Northern Territory, 0872, Australia",70201105006,702011050,Petermann - Simpson,Alice Springs,Northern Territory - Outback,Rest of NT,Northern Territory,709004,Apatula (Finke) and Homelands,709,Apatula
AREYONGA,-24.087034,132.2737118,"Areyonga, Macdonnell Region, Northern Territory, 0872, Australia",70201105314,702011053,Tanami,Alice Springs,Northern Territory - Outback,Rest of NT,Northern Territory,709014,West MacDonnell Ranges,709,Apatula
BAGOT,-12.4146165,130.8540351,"Bagot, Ludmilla, Darwin, City of Darwin, Northern Territory, 0820, Australia",70101100603,701011006,Ludmilla - The Narrows,Darwin City,Darwin,Greater Darwin,Northern Territory,703003,Coconut Grove - Ludmilla,703,Darwin
